#number,Coord_x,Coord_y,evacuation,reward
0,367206.432226,3708314.052030,0,1
1,367373.586488,3708452.742377,0,1
2,367277.737934,3708413.493216,0,1
3,367713.826718,3708807.987266,0,1
4,369058.044121,3710311.550899,0,1
5,369008.357656,3710328.900794,0,1
6,368340.740857,3710447.737004,0,1
7,368029.517410,3710752.301520,0,1
8,368027.736439,3710754.848986,0,1
9,367079.235655,3708526.855356,1,1000
10,367473.883678,3708557.475352,0,1
11,367443.665033,3708519.562620,0,1
12,368192.290381,3709284.154791,0,1
13,367716.148689,3709279.617435,0,1
14,367386.674345,3710346.750300,0,1
15,367361.329587,3710504.566399,0,1
16,368821.841147,3710413.241479,0,1
17,367357.287924,3710767.170842,0,1
18,368846.239200,3711121.620355,0,1
19,369051.216206,3709785.696813,0,1
20,368784.122520,3710423.664481,0,1
21,368501.600347,3710937.751349,0,1
22,368708.666757,3711125.119877,0,1
23,368712.616627,3711124.960664,0,1
24,368341.520703,3710433.098167,0,1
25,368475.349604,3710972.262600,0,1
26,368481.314172,3710929.533174,0,1
27,368745.095512,3710444.402839,0,1
28,367937.902148,3709733.747829,0,1
29,367243.736756,3708337.471168,0,1
30,367261.513482,3708327.943689,0,1
31,367257.456403,3708320.402657,0,1
32,369074.175663,3711282.494515,0,1
33,368559.958704,3710936.782719,0,1
34,368553.795414,3710950.008912,0,1
35,368570.260227,3710940.934081,0,1
36,368552.300375,3710933.704322,0,1
37,367233.597644,3708368.286808,0,1
38,367243.957935,3708380.509870,0,1
39,367237.886259,3708364.645542,0,1
40,367228.730549,3708372.424021,0,1
41,367204.833108,3708314.983473,0,1
42,367375.239347,3708451.666047,0,1
43,367397.456848,3708464.081000,0,1
44,367279.220294,3708411.842518,0,1
45,368638.179625,3709356.939798,0,1
46,368593.852851,3709468.913277,0,1
47,368847.744437,3709426.449176,0,1
48,368450.581797,3709271.774800,0,1
49,369751.784654,3709782.726096,0,1
50,369741.447450,3709855.673499,0,1
51,369879.932495,3709822.837922,0,1
52,369328.762989,3709637.604616,0,1
53,367532.159090,3709189.080329,0,1
54,367528.795241,3709335.641536,0,1
55,367532.501594,3709173.449282,0,1
56,367522.790519,3709142.818093,0,1
57,367544.826100,3709184.026429,0,1
58,367556.490893,3709510.200407,0,1
59,367537.146591,3709430.903968,0,1
60,367525.338060,3709511.205409,0,1
61,367565.369809,3709564.798284,0,1
62,366951.156937,3710801.846778,0,1
63,366969.864037,3710670.743449,0,1
64,366921.407660,3710871.184882,0,1
65,367090.102815,3710760.845487,0,1
66,367704.035428,3708799.576556,0,1
67,367692.230025,3708792.319179,0,1
68,367697.578019,3708812.385850,0,1
69,367715.050530,3708806.112832,0,1
70,370119.591612,3711333.169946,0,1
71,369916.911401,3711206.404797,0,1
72,370131.792259,3710293.592112,0,1
73,370135.302701,3710278.384396,0,1
74,370092.529729,3710391.449724,0,1
75,370113.613030,3710282.480816,0,1
76,370150.060846,3710289.286776,0,1
77,370115.075780,3710274.542645,0,1
78,369949.308343,3710171.299879,0,1
79,369953.633832,3710180.701477,0,1
80,369945.327365,3710162.647769,0,1
